seed,avg_rt,p95,sla_pct,train_time_s,eval_rows,eval_file
42,1.3086222277963293,2.3236247204244136,9.516285488564657,1177.783533334732,99997,./anonymisedData\sim_results\rl_full_eval_seed_42.csv
101,1.3114299454354585,2.3351763945072888,9.63328899866996,1142.5839688777924,99997,./anonymisedData\sim_results\rl_full_eval_seed_101.csv
202,1.3002394675455853,2.304134252667427,9.167275018250548,1131.099441766739,99997,./anonymisedData\sim_results\rl_full_eval_seed_202.csv
303,1.3047907061598292,2.3190080069005488,9.360280808424253,1213.800005197525,99997,./anonymisedData\sim_results\rl_full_eval_seed_303.csv
404,1.308389098279203,2.3260131035000082,9.528285848575457,1126.840253829956,99997,./anonymisedData\sim_results\rl_full_eval_seed_404.csv
